Składnik;Funckja;Zastrzeżenia
Alcohol Denat.;Rozpuszczalnik;Naruszanie bariery hydrolipidowej naskórka, podrażnienia, wysuszanie skóry
Aluminium (sole aluminium);Składniki aktywne antyperspirantów, blokują gruczoły potowe;Genotoksyczność, akumulacja w gruczole sutkowym, alergie, podrażnienia
Avobenzone;Filtr UV;Niestabilność, alergie, podrażnienia
BHA;Przeciwutleniacz;Podrażnienia, alergie, potencjalny kancerogen, toksyczność
BHT;Przeciwutleniacz;Podrażnienia, alergie, potencjalny kancerogen, toksyczność
Cocamide DEA;Substancja konsystencotwórcza, pianotwórcza, emulgator;Alergie, potencjalny kancerogen
Diazolidinyl Urea;Konserwant;Alergie, podrażnienia
Imidazolidinyl Urea;Konserwant;Alergie, podrażnienia
2-Bromo-2-Nitropropane-1,3-Diol;Konserwant;Alergie, podrażnienia
5-Bromo-5-Nitro-1,3-Dioxane;Konserwant;Alergie, podrażnienia
Quaternium-15;Konserwant;Alergie, podrażnienia
Sodium hydroxymethylglycinate;Konserwant;Alergie, podrażnienia
Benzylhemiformal;Konserwant;Alergie, podrażnienia
Madozolidinyl urea;Konserwant;Alergie, podrażnienia
Trisodium HEDTA;Substancja chelatująca;Wspomaganie penetracji innych składników
Tripotassium EDTA and Trisodium EDTA;Substancja chelatująca;Wspomaganie penetracji innych składników
Tetrasodium EDTA;Substancja chelatująca;Wspomaganie penetracji innych składników
TEA-EDTA;Substancja chelatująca;Wspomaganie penetracji innych składników
Disodium EDTA;Substancja chelatująca;Wspomaganie penetracji innych składników
Dipotassium EDTA;Substancja chelatująca;Wspomaganie penetracji innych składników
Diammonium EDTA;Substancja chelatująca;Wspomaganie penetracji innych składników
Calcium Disodium EDTA;Substancja chelatująca;Wspomaganie penetracji innych składników
Ethylenediamine Tetraacetic Acid;Substancja chelatująca;Wspomaganie penetracji innych składników
EDTA;Substancja chelatująca;Wspomaganie penetracji innych składników
Ethylhexyl Methoxycinnamate;Filtr UV przenikający;Zdolność przenikania do krwioobiegu, wysoki potencjał alergenny
Homosalate;Filtr UV przenikający;Zdolność przenikania do krwioobiegu, wysoki potencjał alergenny
Octyl Methoxycinnamate;Filtr UV przenikający;Zdolność przenikania do krwioobiegu, wysoki potencjał alergenny
Benzophenone-4;Filtr UV przenikający;Zdolność przenikania do krwioobiegu, wysoki potencjał alergenny
Benzophenone-3;Filtr UV przenikający;Zdolność przenikania do krwioobiegu, wysoki potencjał alergenny
4-Methylbenzylidene Camphor;Filtr UV przenikający;Zdolność przenikania do krwioobiegu, wysoki potencjał alergenny
Octyl Dimethyl PABA;Filtr UV przenikający;Zdolność przenikania do krwioobiegu, wysoki potencjał alergenny
Butyliodopropynyl Ester Carbamid Acid;Konserwant;Wysoki potencjał alergenny, podrażnienia
IPBC;Konserwant;Wysoki potencjał alergenny, podrażnienia
1,1-dimethylethane;Rozpuszczalnik;Podrażnienia błon śluzowych
Isobutane;Konserwant;Podrażnienia błon śluzowych
Iodopropynyl Butyl Carbamate;Konserwant;Wysoki potencjał alergenny, podrażnienia
Methylchloroisothiazolinone;Konserwant;Wysoki potencjał alergenny, podrażnienia, osłabienie naturalnej bariery hydrolipidowej
Methyllisothiazolinone;Konserwant;Wysoki potencjał alergenny, podrażnienia, osłabienie naturalnej bariery hydrolipidowej
Octocrylene;Filtr UV;Podrażnienia i zaczerwienienia u dzieci, zdolność do absorpcji
2-Propenoic acid;Filtr UV;Podrażnienia i zaczerwienienia u dzieci, zdolność do absorpcji
2-cyano-3,3-diphenyl-;Filtr UV;Podrażnienia i zaczerwienienia u dzieci, zdolność do absorpcji
2-ethylhexyl ester;Filtr UV;Podrażnienia i zaczerwienienia u dzieci, zdolność do absorpcji
Methylparaben;Konserwant;Potencjalne działanie estrogenne, podrażnienia, nie powinny być stosowane na chorobowo zmienioną skórę
Propylparaben;Konserwant;Potencjalne działanie estrogenne, podrażnienia, nie powinny być stosowane na chorobowo zmienioną skórę
Butylparaben;Konserwant;Potencjalne działanie estrogenne, podrażnienia, nie powinny być stosowane na chorobowo zmienioną skórę
Ethylparaben;Konserwant;Potencjalne działanie estrogenne, podrażnienia, nie powinny być stosowane na chorobowo zmienioną skórę
Isopropylparaben;Konserwant;Potencjalne działanie estrogenne, podrażnienia, nie powinny być stosowane na chorobowo zmienioną skórę
Isobutylparaben;Konserwant;Potencjalne działanie estrogenne, podrażnienia, nie powinny być stosowane na chorobowo zmienioną skórę
Parffinum Liquidum;Emolient;Zaburza naturalną fizjologię skóry
Liquid Paraffin;Emolient;Zaburza naturalną fizjologię skóry
Liquid Petrolatum;Emolient;Zaburza naturalną fizjologię skóry
Paraffin Oil;Emolient;Zaburza naturalną fizjologię skóry
Paraffin Oils;Emolient;Zaburza naturalną fizjologię skóry
PEG;Rozpuszczalnik, emulgator, humektant, środek myjący;Możliwość zanieczyszczenia tlenkiem etylenu i 1,4-dioksanem, zwiększanie penetracji innych składników, genotoksyczność
PPG;Rozpuszczalnik, emulgator, humektant, środek myjący;Możliwość zanieczyszczenia tlenkiem etylenu i 1,4-dioksanem, zwiększanie penetracji innych składników, genotoksyczność
polyethylene glycol;Rozpuszczalnik, emulgator, humektant, środek myjący;Możliwość zanieczyszczenia tlenkiem etylenu i 1,4-dioksanem, zwiększanie penetracji innych składników, genotoksyczność
PEO;Rozpuszczalnik, emulgator, humektant, środek myjący;Możliwość zanieczyszczenia tlenkiem etylenu i 1,4-dioksanem, zwiększanie penetracji innych składników, genotoksyczność
polyethylene oxide;Rozpuszczalnik, emulgator, humektant, środek myjący;Możliwość zanieczyszczenia tlenkiem etylenu i 1,4-dioksanem, zwiększanie penetracji innych składników, genotoksyczność
2-Phenoxyethanol;Konserwant, stabilizator, substancja zapachowa;Toksyczność (jama ustna, oczy), uszkodzenia komórek wątroby, absorpcja przez skórę, niewskazany dla dzieci i niemowląt
Euxyl K 400;Konserwant, stabilizator, substancja zapachowa;Toksyczność (jama ustna, oczy), uszkodzenia komórek wątroby, absorpcja przez skórę, niewskazany dla dzieci i niemowląt
PhE;Konserwant, stabilizator, substancja zapachowa;Toksyczność (jama ustna, oczy), uszkodzenia komórek wątroby, absorpcja przez skórę, niewskazany dla dzieci i niemowląt
Phenoxyethanol;Konserwant, stabilizator, substancja zapachowa;Toksyczność (jama ustna, oczy), uszkodzenia komórek wątroby, absorpcja przez skórę, niewskazany dla dzieci i niemowląt
Polysorbate 20;Emulgator;Możliwość zanieczyszczenia kwasem mrówkowym, formaldehydem oraz reaktywnymi nadtlenkami
Polysorbate 40;Emulgator;Możliwość zanieczyszczenia kwasem mrówkowym, formaldehydem oraz reaktywnymi nadtlenkami
Polysorbate 60;Emulgator;Możliwość zanieczyszczenia kwasem mrówkowym, formaldehydem oraz reaktywnymi nadtlenkami
Polysorbate 80;Emulgator;Możliwość zanieczyszczenia kwasem mrówkowym, formaldehydem oraz reaktywnymi nadtlenkami
Polysorbate;Emulgator;Możliwość zanieczyszczenia kwasem mrówkowym, formaldehydem oraz reaktywnymi nadtlenkami
(2-Propenyloxy)propanol;Promotor przenikania, substancja nawilżająca;Zwiększanie penetracji substancji wgłąb skóry, podrażnienia (w wysokich stężeniach), zdolność do akumulacji
1,2-Propanediol, allyl ether;Promotor przenikania, substancja nawilżająca;Zwiększanie penetracji substancji wgłąb skóry, podrażnienia (w wysokich stężeniach), zdolność do akumulacji
Dowanol PA-T;Promotor przenikania, substancja nawilżająca;Zwiększanie penetracji substancji wgłąb skóry, podrażnienia (w wysokich stężeniach), zdolność do akumulacji
Propanol, (2-propenyloxy)-;Promotor przenikania, substancja nawilżająca;Zwiększanie penetracji substancji wgłąb skóry, podrażnienia (w wysokich stężeniach), zdolność do akumulacji
Propanol, (allyloxy)-;Promotor przenikania, substancja nawilżająca;Zwiększanie penetracji substancji wgłąb skóry, podrażnienia (w wysokich stężeniach), zdolność do akumulacji
Propylene glycol allyl ether;Promotor przenikania, substancja nawilżająca;Zwiększanie penetracji substancji wgłąb skóry, podrażnienia (w wysokich stężeniach), zdolność do akumulacji
Propylene glycol monoallyl ether;Promotor przenikania, substancja nawilżająca;Zwiększanie penetracji substancji wgłąb skóry, podrażnienia (w wysokich stężeniach), zdolność do akumulacji
Propylene Glycol;Promotor przenikania, substancja nawilżająca;Zwiększanie penetracji substancji wgłąb skóry, podrażnienia (w wysokich stężeniach), zdolność do akumulacji
Axerophthol Palmitate;Antyoksydant;Powiązanie z występowaniem nowotworu, fototoksyczność
Hexadecanoate Retinol;Antyoksydant;Powiązanie z występowaniem nowotworu, fototoksyczność
Retinol Palmitate;Antyoksydant;Powiązanie z występowaniem nowotworu, fototoksyczność
Retinol, Vitamin A Palmitate;Antyoksydant;Powiązanie z występowaniem nowotworu, fototoksyczność
Aquasol A;Antyoksydant;Powiązanie z występowaniem nowotworu, fototoksyczność
Arovit;Antyoksydant;Powiązanie z występowaniem nowotworu, fototoksyczność
Optovit-a;Antyoksydant;Powiązanie z występowaniem nowotworu, fototoksyczność
Retinol Palmitate;Antyoksydant;Powiązanie z występowaniem nowotworu, fototoksyczność
Vitamin A Palmitate;Antyoksydant;Powiązanie z występowaniem nowotworu, fototoksyczność
Retinyl Palmitate;Antyoksydant;Powiązanie z występowaniem nowotworu, fototoksyczność
Dimethicone;(silikon) Emolient;Możliwe wchłanianie się do organizmu, ryzyko zanieczyszczeń, brak właściwości pielęgnacyjnych
Methicone;(silikon) Emolient;Możliwe wchłanianie się do organizmu, ryzyko zanieczyszczeń, brak właściwości pielęgnacyjnych
Trimethicone;(silikon) Emolient;Możliwe wchłanianie się do organizmu, ryzyko zanieczyszczeń, brak właściwości pielęgnacyjnych
Cyclomethicone;(silikon) Emolient;Możliwe wchłanianie się do organizmu, ryzyko zanieczyszczeń, brak właściwości pielęgnacyjnych
Amodimethicone;(silikon) Emolient;Możliwe wchłanianie się do organizmu, ryzyko zanieczyszczeń, brak właściwości pielęgnacyjnych
Trimethylsilylamodimethicone;(silikon) Emolient;Możliwe wchłanianie się do organizmu, ryzyko zanieczyszczeń, brak właściwości pielęgnacyjnych
Cyclopentasiloxane;(silikon) Emolient;Możliwe wchłanianie się do organizmu, ryzyko zanieczyszczeń, brak właściwości pielęgnacyjnych
Polydimethylsiloxane;(silikon) Emolient;Możliwe wchłanianie się do organizmu, ryzyko zanieczyszczeń, brak właściwości pielęgnacyjnych
Dimethiconol;(silikon) Emolient;Możliwe wchłanianie się do organizmu, ryzyko zanieczyszczeń, brak właściwości pielęgnacyjnych
Sodium Lauryl Sulphate;Substancja myjąca;Podrażnienia, zaczerwienienia, swędzenie i reakcje alergiczne
SLS;Substancja myjąca;Podrażnienia, zaczerwienienia, swędzenie i reakcje alergiczne
Sodium Laureth Sulphate;Substancja myjąca;Podrażnienia, uczucie swędzenia
SLES;Substancja myjąca;Podrażnienia, uczucie swędzenia
Triclosan;Środek antybakteryjny i przeciwgrzybiczy;Podrażnienia, akumulacja w tkance tłuszczowej człowieka, negatywny wpływ na układ nerwowy oraz tarczycę, potencjalne działanie kancerogenne, podejrzenie o zwiększenie odporności organizmu na działanie antybiotyków
